工作项类型,编号,标题,描述,父级工作项,优先级,迭代,故事点,预估工时,负责人,开始日期,截止日期,标签,验收标准
史诗,E0,E0 敏捷研发机制与质量保障体系,贯穿 6 个月的敏捷协作与质量保障基础设施。以固定两周迭代节奏、明确 DoR/DoD、WIP 限制、五道质量门禁(G0-G4)、技术债偿还与自动化校核，实现「效率提升不以质量妥协为代价」。,,高,Sprint 0 · 启动准备,,,技术负责人,2026-09-21,2026-09-27,载荷设计流程,
史诗,E1,E1 需求分析与载荷指标体系建立,流程第一阶段：把任务需求转化为可估算、可校核的载荷指标基线。产出需求基线、指标预算与频率规划，通过 G0 门禁后进入方案设计。,,紧急,Sprint 1,,,技术负责人,2026-09-28,2026-10-11,载荷设计流程,
史诗,E2,E2 载荷总体方案设计与体制选择,流程第二阶段：确定转发体制、天线体制与构型方案，完成货架产品选型与缺口识别，通过 G1(SRR)。,,紧急,Sprint 3,,,技术负责人,2026-10-26,2026-11-08,载荷设计流程,
史诗,E3,E3 四分系统详细设计,流程第三阶段：天线/转发器/激光/智能处理四分系统并行详细设计，含射频链路单机配置与 EMC-热控-供电协同。四分系统可由四个小组并行推进（敏捷并行开发），通过接口 ICD 与集成迭代收敛。,,紧急,Sprint 5,,,技术负责人,2026-11-23,2026-12-06,载荷设计流程,
史诗,E4,E4 指标校核与链路预算闭环,流程第四阶段：链路预算、余量校核、双回环迭代优化与三重校验。这是「质量闸门」——余量<3dB 即判不通过并触发回环调整，确保方案闭合而非纸面通过。,,紧急,Sprint 7,,,技术负责人,2026-12-21,2027-01-03,载荷设计流程,
史诗,E5,E5 平台/运载适配与集成验证,流程第五阶段：平台承载与姿态耦合、运载发射约束、分系统集成接口与验证试验策划，通过 G3(CDR)。,,高,Sprint 10,,,技术负责人,2027-02-01,2027-02-14,载荷设计流程,
史诗,E6,E6 方案评审、交付与知识沉淀,流程第六阶段：方案文档编制、交付物归档、知识图谱/货架库/规则库更新与项目复盘，通过 G4(FRR) 验收。,,紧急,Sprint 12,,,技术负责人,2027-03-01,2027-03-14,载荷设计流程,
特性,F0.1,敏捷仪式与迭代节奏,,E0 敏捷研发机制与质量保障体系,高,Sprint 0 · 启动准备,,,,2026-09-21,2026-09-27,载荷设计流程,
特性,F1.1,任务需求解析与场景定义,,E1 需求分析与载荷指标体系建立,紧急,Sprint 1,,,,2026-09-28,2026-10-11,载荷设计流程,
特性,F1.2,载荷指标体系与预算分解,,E1 需求分析与载荷指标体系建立,紧急,Sprint 1,,,,2026-09-28,2026-10-11,载荷设计流程,
特性,F1.3,频率规划与轨道资源协调,,E1 需求分析与载荷指标体系建立,高,Sprint 2,,,,2026-10-12,2026-10-25,载荷设计流程,
特性,F2.1,转发体制选型,,E2 载荷总体方案设计与体制选择,紧急,Sprint 3,,,,2026-10-26,2026-11-08,载荷设计流程,
特性,F2.2,天线体制与构型方案,,E2 载荷总体方案设计与体制选择,紧急,Sprint 4,,,,2026-11-09,2026-11-22,载荷设计流程,
特性,F2.3,货架产品选型与缺口管理,,E2 载荷总体方案设计与体制选择,高,Sprint 4,,,,2026-11-09,2026-11-22,载荷设计流程,
特性,F3.1,天线分系统详细设计,,E3 四分系统详细设计,紧急,Sprint 5,,,,2026-11-23,2026-12-06,载荷设计流程,
特性,F3.2,转发器分系统详细设计,,E3 四分系统详细设计,紧急,Sprint 6,,,,2026-12-07,2026-12-20,载荷设计流程,
特性,F3.3,激光通信分系统设计,,E3 四分系统详细设计,高,Sprint 8,,,,2027-01-04,2027-01-17,载荷设计流程,
特性,F3.4,智能处理分系统设计,,E3 四分系统详细设计,高,Sprint 8,,,,2027-01-04,2027-01-17,载荷设计流程,
特性,F3.5,EMC-热控-供电协同设计,,E3 四分系统详细设计,高,Sprint 6,,,,2026-12-07,2026-12-20,载荷设计流程,
特性,F4.1,链路预算与余量校核,,E4 指标校核与链路预算闭环,紧急,Sprint 7,,,,2026-12-21,2027-01-03,载荷设计流程,
特性,F4.2,双回环迭代优化与三重校验,,E4 指标校核与链路预算闭环,紧急,Sprint 9,,,,2027-01-18,2027-01-31,载荷设计流程,
特性,F5.1,平台适配与耦合分析,,E5 平台/运载适配与集成验证,高,Sprint 10,,,,2027-02-01,2027-02-14,载荷设计流程,
特性,F5.2,运载适配与发射约束,,E5 平台/运载适配与集成验证,高,Sprint 10,,,,2027-02-01,2027-02-14,载荷设计流程,
特性,F5.3,分系统集成与验证试验策划,,E5 平台/运载适配与集成验证,高,Sprint 11,,,,2027-02-15,2027-02-28,载荷设计流程,
特性,F6.1,方案文档与交付物,,E6 方案评审、交付与知识沉淀,紧急,Sprint 12,,,,2027-03-01,2027-03-14,载荷设计流程,
特性,F6.2,知识沉淀与工具化复用,,E6 方案评审、交付与知识沉淀,高,Sprint 12,,,,2027-03-01,2027-03-14,载荷设计流程,
特性,F6.3,项目复盘与持续改进,,E6 方案评审、交付与知识沉淀,中,Sprint 12,,,,2027-03-01,2027-03-14,载荷设计流程,
