工作项类型,编号,标题,描述,父级工作项,优先级,迭代,故事点,预估工时,负责人,开始日期,截止日期,标签,验收标准
任务,F0.1-S1-T1,配置 PingCode 迭代与日历（12 迭代+发布）,,建立固定迭代节奏与四类敏捷仪式,高,Sprint 0 · 启动准备,,3,SM,2026-09-21,2026-09-27,"工具,载荷设计流程",
任务,F0.1-S1-T2,制定 Sprint 计划会议程与容量核算模板（2h/迭代首日）,,建立固定迭代节奏与四类敏捷仪式,高,Sprint 0 · 启动准备,,4,SM,2026-09-21,2026-09-27,"流程,载荷设计流程",
任务,F0.1-S1-T3,制定每日站会规则（15min，任务板+阻塞项+当日承诺）,,建立固定迭代节奏与四类敏捷仪式,高,Sprint 0 · 启动准备,,2,SM,2026-09-21,2026-09-27,"流程,载荷设计流程",
任务,F0.1-S1-T4,制定迭代评审会议程（交付物演示+指标核验）与回顾会模板,,建立固定迭代节奏与四类敏捷仪式,高,Sprint 0 · 启动准备,,4,SM,2026-09-21,2026-09-27,"流程,载荷设计流程",
任务,F0.1-S1-T5,建立 Backlog 梳理会机制（每迭代中期，2h）,,建立固定迭代节奏与四类敏捷仪式,高,Sprint 0 · 启动准备,,3,PO,2026-09-21,2026-09-27,"流程,载荷设计流程",
任务,F0.1-S2-T1,编写 DoR 就绪定义清单并配置为创建校验规则,,定义 DoR/DoD 与 WIP 限制,高,Sprint 0 · 启动准备,,4,PO,2026-09-21,2026-09-27,"质量,载荷设计流程",
任务,F0.1-S2-T2,编写 DoD 完成定义（含三重校核与归档要求）,,定义 DoR/DoD 与 WIP 限制,高,Sprint 0 · 启动准备,,4,技术负责人,2026-09-21,2026-09-27,"质量,载荷设计流程",
任务,F0.1-S2-T3,配置看板 WIP 限制（每列≤5、人均≤2）,,定义 DoR/DoD 与 WIP 限制,高,Sprint 0 · 启动准备,,2,SM,2026-09-21,2026-09-27,"工具,载荷设计流程",
任务,F0.1-S2-T4,制定任务拆分粒度规范（0.5~2 人日）与示例,,定义 DoR/DoD 与 WIP 限制,高,Sprint 0 · 启动准备,,3,SM,2026-09-21,2026-09-27,"流程,载荷设计流程",
任务,F0.1-S3-T1,定义五道质量门禁的通过准则与评审清单,,建立质量门禁 G0-G4 与技术债机制,高,Sprint 0 · 启动准备,,8,技术负责人,2026-09-21,2026-09-27,"质量,载荷设计流程",
任务,F0.1-S3-T2,在 PingCode 配置门禁审批流（阶段关闭需审批）,,建立质量门禁 G0-G4 与技术债机制,高,Sprint 0 · 启动准备,,4,SM,2026-09-21,2026-09-27,"工具,载荷设计流程",
任务,F0.1-S3-T3,建立技术债登记表与每迭代 10% 偿还容量规则,,建立质量门禁 G0-G4 与技术债机制,高,Sprint 0 · 启动准备,,4,技术负责人,2026-09-21,2026-09-27,"质量,载荷设计流程",
任务,F0.1-S3-T4,制定关键计算双人交叉复核制度（链路预算/指标分配）,,建立质量门禁 G0-G4 与技术债机制,高,Sprint 0 · 启动准备,,4,质量师,2026-09-21,2026-09-27,"质量,载荷设计流程",
任务,F0.1-S3-T5,建立风险库模板（影响×概率打分、触发阈值、缓解人）,,建立质量门禁 G0-G4 与技术债机制,高,Sprint 0 · 启动准备,,4,PM,2026-09-21,2026-09-27,"质量,载荷设计流程",
任务,F0.1-S4-T1,将三重校验清单固化为 DoD 检查项,,配置自动化校核以替代人工检查,高,Sprint 0 · 启动准备,,4,质量师,2026-09-21,2026-09-27,"自动化,载荷设计流程",
任务,F0.1-S4-T2,接入 25 条工程约束作为自动校核规则,,配置自动化校核以替代人工检查,高,Sprint 0 · 启动准备,,6,开发,2026-09-21,2026-09-27,"自动化,载荷设计流程",
任务,F0.1-S4-T3,接入 30 条异常分级规则（L1自动降级/L2告警放行/L3中止转人工）,,配置自动化校核以替代人工检查,高,Sprint 0 · 启动准备,,6,开发,2026-09-21,2026-09-27,"自动化,载荷设计流程",
任务,F0.1-S4-T4,配置逾期提醒、门禁前置预警与自动分派规则,,配置自动化校核以替代人工检查,高,Sprint 0 · 启动准备,,3,SM,2026-09-21,2026-09-27,"工具,载荷设计流程",
任务,F1.1-S1-T1,收集任务书与用户需求输入并建立清单,,梳理任务场景与业务需求输入,紧急,Sprint 1,,6,PO,2026-09-28,2026-10-11,"需求,载荷设计流程",
任务,F1.1-S1-T2,梳理四类典型任务场景与业务模式,,梳理任务场景与业务需求输入,紧急,Sprint 1,,8,总体设计师,2026-09-28,2026-10-11,"需求,载荷设计流程",
任务,F1.1-S1-T3,建立场景-指标映射表（覆盖/可用性/容量/寿命/模式）,,梳理任务场景与业务需求输入,紧急,Sprint 1,,8,总体设计师,2026-09-28,2026-10-11,"需求,载荷设计流程",
任务,F1.1-S1-T4,明确轨道类型与覆盖特性（GEO/MEO/LEO/SSO/HEO）,,梳理任务场景与业务需求输入,紧急,Sprint 1,,6,轨道工程师,2026-09-28,2026-10-11,"需求,载荷设计流程",
任务,F1.1-S2-T1,定义阻断级/告警级缺项清单与拦截规则,,建立需求澄清与缺项闸口机制,紧急,Sprint 1,,6,PO,2026-09-28,2026-10-11,"质量,载荷设计流程",
任务,F1.1-S2-T2,编制需求澄清问答模板（轨道/频段/EIRP/G-T/容量/寿命/模式）,,建立需求澄清与缺项闸口机制,紧急,Sprint 1,,4,PO,2026-09-28,2026-10-11,"需求,载荷设计流程",
任务,F1.1-S2-T3,实现缺项自动检出与澄清任务自动创建,,建立需求澄清与缺项闸口机制,紧急,Sprint 1,,6,开发,2026-09-28,2026-10-11,"自动化,载荷设计流程",
任务,F1.1-S3-T1,建立需求基线与版本归档规则,,需求基线冻结与变更控制,紧急,Sprint 1,,4,PM,2026-09-28,2026-10-11,"配置管理,载荷设计流程",
任务,F1.1-S3-T2,制定需求变更控制流程（影响分析+CCB审批）,,需求基线冻结与变更控制,紧急,Sprint 1,,4,PM,2026-09-28,2026-10-11,"配置管理,载荷设计流程",
任务,F1.2-S1-T1,EIRP 预算分解（功放功率/天线增益/馈损/通道插损）,,建立顶层指标预算（EIRP/G-T/容量/质量/功耗）,紧急,Sprint 1,,8,链路工程师,2026-09-28,2026-10-11,"指标,载荷设计流程",
任务,F1.2-S1-T2,G/T 预算分解（天线增益 vs 系统噪声温度/LNA噪声系数）,,建立顶层指标预算（EIRP/G-T/容量/质量/功耗）,紧急,Sprint 1,,8,链路工程师,2026-09-28,2026-10-11,"指标,载荷设计流程",
任务,F1.2-S1-T3,容量预算（波束数×单波束带宽×频谱效率×复用因子）,,建立顶层指标预算（EIRP/G-T/容量/质量/功耗）,紧急,Sprint 1,,6,总体设计师,2026-09-28,2026-10-11,"指标,载荷设计流程",
任务,F1.2-S1-T4,质量预算分系统分解（含≥10%裕度）,,建立顶层指标预算（EIRP/G-T/容量/质量/功耗）,紧急,Sprint 1,,6,结构工程师,2026-09-28,2026-10-11,"指标,载荷设计流程",
任务,F1.2-S1-T5,功耗预算分系统分解（峰值/均值区分）,,建立顶层指标预算（EIRP/G-T/容量/质量/功耗）,紧急,Sprint 1,,6,电源工程师,2026-09-28,2026-10-11,"指标,载荷设计流程",
任务,F1.2-S1-T6,指标预算交叉复核与基线签署,,建立顶层指标预算（EIRP/G-T/容量/质量/功耗）,紧急,Sprint 1,,4,质量师,2026-09-28,2026-10-11,"质量,载荷设计流程",
任务,F1.3-S1-T1,频段权衡分析（L/S/C/X/Ku/Ka/Q-V/激光）,,频段选择与频率规划,高,Sprint 2,,8,总体设计师,2026-10-12,2026-10-25,"频率,载荷设计流程",
任务,F1.3-S1-T2,频率规划与复用色数方案（4色/7色）,,频段选择与频率规划,高,Sprint 2,,8,频率工程师,2026-10-12,2026-10-25,"频率,载荷设计流程",
任务,F1.3-S1-T3,频率指配与邻星协调计算（ITU-R S.466/S.1528）,,频段选择与频率规划,高,Sprint 2,,8,频率工程师,2026-10-12,2026-10-25,"合规,载荷设计流程",
任务,F1.3-S1-T4,雨衰与可用性核算（A(p)∝p^-0.6，按仰角归一）,,频段选择与频率规划,高,Sprint 2,,6,链路工程师,2026-10-12,2026-10-25,"链路,载荷设计流程",
任务,F1.3-S2-T1,轨道参数与覆盖特性核算,,轨道资源与覆盖特性核算,高,Sprint 2,,6,轨道工程师,2026-10-12,2026-10-25,"轨道,载荷设计流程",
任务,F1.3-S2-T2,星地斜距与最小仰角确定（链路预算输入）,,轨道资源与覆盖特性核算,高,Sprint 2,,4,链路工程师,2026-10-12,2026-10-25,"链路,载荷设计流程",
任务,F1.3-S2-T3,星座构型与星间几何关系分析,,轨道资源与覆盖特性核算,高,Sprint 2,,6,轨道工程师,2026-10-12,2026-10-25,"轨道,载荷设计流程",
任务,F2.1-S1-T1,建立体制对比矩阵（7 维加权打分）,,透明/再生/DTP 三体制对比与决策,紧急,Sprint 3,,8,总体设计师,2026-10-26,2026-11-08,"体制,载荷设计流程",
任务,F2.1-S1-T2,透明体制优劣与适用场景分析,,透明/再生/DTP 三体制对比与决策,紧急,Sprint 3,,4,总体设计师,2026-10-26,2026-11-08,"体制,载荷设计流程",
任务,F2.1-S1-T3,再生体制余量提升(3~6dB)与时延代价核算,,透明/再生/DTP 三体制对比与决策,紧急,Sprint 3,,6,链路工程师,2026-10-26,2026-11-08,"体制,载荷设计流程",
任务,F2.1-S1-T4,DTP 柔性体制在轨重构能力定义（波束/带宽/功率/路由）,,透明/再生/DTP 三体制对比与决策,紧急,Sprint 3,,8,总体设计师,2026-10-26,2026-11-08,"体制,载荷设计流程",
任务,F2.1-S1-T5,体制决策评审与结论归档,,透明/再生/DTP 三体制对比与决策,紧急,Sprint 3,,4,技术负责人,2026-10-26,2026-11-08,"评审,载荷设计流程",
任务,F2.1-S2-T1,透明转发单机链定义与接口梳理,,定义各体制的组成单机链,紧急,Sprint 3,,6,转发器设计师,2026-10-26,2026-11-08,"单机链,载荷设计流程",
任务,F2.1-S2-T2,再生体制单机链定义（基带+路由）,,定义各体制的组成单机链,紧急,Sprint 3,,6,转发器设计师,2026-10-26,2026-11-08,"单机链,载荷设计流程",
任务,F2.1-S2-T3,DTP 体制单机链定义（数字化+交换+功率池）,,定义各体制的组成单机链,紧急,Sprint 3,,6,转发器设计师,2026-10-26,2026-11-08,"单机链,载荷设计流程",
任务,F2.1-S2-T4,单机链与知识图谱 chain 字段对齐校验,,定义各体制的组成单机链,紧急,Sprint 3,,4,开发,2026-10-26,2026-11-08,"自动化,载荷设计流程",
任务,F2.2-S1-T1,实现五要素加权打分模型（30/25/20/15/10）,,天线体制五要素加权选型,紧急,Sprint 4,,8,开发,2026-11-09,2026-11-22,"选型,载荷设计流程",
任务,F2.2-S1-T2,相控阵 vs 反射阵 vs 反射面 vs 伞状构型对比,,天线体制五要素加权选型,紧急,Sprint 4,,8,天线设计师,2026-11-09,2026-11-22,"体制,载荷设计流程",
任务,F2.2-S1-T3,口径/阵元数反推（G_pa=10lg(N_el×η)+G_el；G_refl=10lg(η(πD/λ)²)）,,天线体制五要素加权选型,紧急,Sprint 4,,8,天线设计师,2026-11-09,2026-11-22,"指标,载荷设计流程",
任务,F2.2-S1-T4,频段硬过滤与工作模式匹配校核,,天线体制五要素加权选型,紧急,Sprint 4,,6,天线设计师,2026-11-09,2026-11-22,"选型,载荷设计流程",
任务,F2.2-S1-T5,输出首选/备选天线方案与打分依据,,天线体制五要素加权选型,紧急,Sprint 4,,4,天线设计师,2026-11-09,2026-11-22,"选型,载荷设计流程",
任务,F2.2-S2-T1,波束数与波束宽度规划,,波束方案与覆盖设计,紧急,Sprint 4,,6,天线设计师,2026-11-09,2026-11-22,"波束,载荷设计流程",
任务,F2.2-S2-T2,频率复用色数与波束排布设计,,波束方案与覆盖设计,紧急,Sprint 4,,6,频率工程师,2026-11-09,2026-11-22,"波束,载荷设计流程",
任务,F2.2-S2-T3,波束跳变/在轨重构模式定义,,波束方案与覆盖设计,紧急,Sprint 4,,6,天线设计师,2026-11-09,2026-11-22,"波束,载荷设计流程",
任务,F2.2-S2-T4,覆盖区仿真与 EIRP/G-T 等值线图,,波束方案与覆盖设计,紧急,Sprint 4,,8,仿真工程师,2026-11-09,2026-11-22,"仿真,载荷设计流程",
任务,F2.2-S2-T5,波束链路能力一致性校核（c-25）,,波束方案与覆盖设计,紧急,Sprint 4,,4,质量师,2026-11-09,2026-11-22,"校核,载荷设计流程",
任务,F2.3-S1-T1,货架产品库盘点与真实产品数据接入,,货架优先选型与缺口识别,高,Sprint 4,,8,开发,2026-11-09,2026-11-22,"货架,载荷设计流程",
任务,F2.3-S1-T2,实现货架优先级排序与缺口自动检出,,货架优先选型与缺口识别,高,Sprint 4,,6,开发,2026-11-09,2026-11-22,"选型,载荷设计流程",
任务,F2.3-S1-T3,缺口项风险评估与研制周期调查,,货架优先选型与缺口识别,高,Sprint 4,,8,PM,2026-11-09,2026-11-22,"风险,载荷设计流程",
任务,F2.3-S1-T4,供应商能力与批产可行性调查,,货架优先选型与缺口识别,高,Sprint 4,,6,采购,2026-11-09,2026-11-22,"货架,载荷设计流程",
任务,F3.1-S1-T1,T/R 组件选型与阵元数确定,,有源阵面与 T/R 组件设计,紧急,Sprint 5,,8,天线设计师,2026-11-23,2026-12-06,"阵面,载荷设计流程",
任务,F3.1-S1-T2,幅相一致性指标分配与校准方案设计,,有源阵面与 T/R 组件设计,紧急,Sprint 5,,8,天线设计师,2026-11-23,2026-12-06,"阵面,载荷设计流程",
任务,F3.1-S1-T3,阵面热控设计与结温校核（≤125℃）,,有源阵面与 T/R 组件设计,紧急,Sprint 5,,8,热控工程师,2026-11-23,2026-12-06,"热控,载荷设计流程",
任务,F3.1-S1-T4,阵面功耗核算与供电峰值校核,,有源阵面与 T/R 组件设计,紧急,Sprint 5,,6,电源工程师,2026-11-23,2026-12-06,"供电,载荷设计流程",
任务,F3.1-S1-T5,波束赋形网络（ABF/DBF）通道配置,,有源阵面与 T/R 组件设计,紧急,Sprint 5,,6,天线设计师,2026-11-23,2026-12-06,"阵面,载荷设计流程",
任务,F3.1-S1-T6,移相器位数与指向量化误差核算,,有源阵面与 T/R 组件设计,紧急,Sprint 5,,4,天线设计师,2026-11-23,2026-12-06,"阵面,载荷设计流程",
任务,F3.1-S2-T1,面精度指标分配与校核（≤λ/32）,,反射面/展开机构与电气性能设计,紧急,Sprint 5,,6,结构工程师,2026-11-23,2026-12-06,"结构,载荷设计流程",
任务,F3.1-S2-T2,展开机构方案与到位精度/锁定可靠性设计,,反射面/展开机构与电气性能设计,紧急,Sprint 5,,8,结构工程师,2026-11-23,2026-12-06,"结构,载荷设计流程",
任务,F3.1-S2-T3,旁瓣电平与方向图合规校核（S.1323）,,反射面/展开机构与电气性能设计,紧急,Sprint 5,,6,天线设计师,2026-11-23,2026-12-06,"合规,载荷设计流程",
任务,F3.1-S2-T4,馈源照射效率与轴比设计（AR≤3dB）,,反射面/展开机构与电气性能设计,紧急,Sprint 5,,6,天线设计师,2026-11-23,2026-12-06,"电气,载荷设计流程",
任务,F3.1-S2-T5,波束校准网络精度设计,,反射面/展开机构与电气性能设计,紧急,Sprint 5,,4,天线设计师,2026-11-23,2026-12-06,"校准,载荷设计流程",
任务,F3.1-S3-T1,发射通道插损预算与功率合成效率设计,,天线射频通道设计（发射/接收/波束链路）,紧急,Sprint 6,,6,天线设计师,2026-12-07,2026-12-20,"射频链路,载荷设计流程",
任务,F3.1-S3-T2,接收通道噪声温度分配（T_sys）,,天线射频通道设计（发射/接收/波束链路）,紧急,Sprint 6,,6,天线设计师,2026-12-07,2026-12-20,"射频链路,载荷设计流程",
任务,F3.1-S3-T3,环行器/隔离器选型与收发共用方案（≥100dB）,,天线射频通道设计（发射/接收/波束链路）,紧急,Sprint 6,,4,天线设计师,2026-12-07,2026-12-20,"射频链路,载荷设计流程",
任务,F3.1-S3-T4,收发滤波器带外抑制与镜像抑制设计,,天线射频通道设计（发射/接收/波束链路）,紧急,Sprint 6,,6,天线设计师,2026-12-07,2026-12-20,"射频链路,载荷设计流程",
任务,F3.1-S3-T5,波束端口/切换矩阵/指向机构配置,,天线射频通道设计（发射/接收/波束链路）,紧急,Sprint 6,,6,天线设计师,2026-12-07,2026-12-20,"射频链路,载荷设计流程",
任务,F3.2-S1-T1,LNA 噪声系数/增益选型与冗余配置,,接收通道与变频设计,紧急,Sprint 6,,6,转发器设计师,2026-12-07,2026-12-20,"接收,载荷设计流程",
任务,F3.2-S1-T2,IMUX 通道数与通道间隔设计,,接收通道与变频设计,紧急,Sprint 6,,4,转发器设计师,2026-12-07,2026-12-20,"接收,载荷设计流程",
任务,F3.2-S1-T3,下变频方案与镜像抑制设计,,接收通道与变频设计,紧急,Sprint 6,,6,转发器设计师,2026-12-07,2026-12-20,"接收,载荷设计流程",
任务,F3.2-S1-T4,本振频率源相位噪声指标分配,,接收通道与变频设计,紧急,Sprint 6,,6,转发器设计师,2026-12-07,2026-12-20,"接收,载荷设计流程",
任务,F3.2-S1-T5,接收通道单机频段一致性校核（防错配）,,接收通道与变频设计,紧急,Sprint 6,,4,质量师,2026-12-07,2026-12-20,"合规,载荷设计流程",
任务,F3.2-S2-T1,TWTA/SSPA/MPA 选型与效率-功率权衡,,功率放大与输出多工设计,紧急,Sprint 6,,8,转发器设计师,2026-12-07,2026-12-20,"功放,载荷设计流程",
任务,F3.2-S2-T2,直流功耗核算（P_dc=P_out/η）与供电校核,,功率放大与输出多工设计,紧急,Sprint 6,,6,电源工程师,2026-12-07,2026-12-20,"供电,载荷设计流程",
任务,F3.2-S2-T3,线性度/回退量与三阶交调(IMD3)分析,,功率放大与输出多工设计,紧急,Sprint 6,,8,转发器设计师,2026-12-07,2026-12-20,"功放,载荷设计流程",
任务,F3.2-S2-T4,OMUX 通道数/插损/隔离设计与重量核算,,功率放大与输出多工设计,紧急,Sprint 6,,6,转发器设计师,2026-12-07,2026-12-20,"功放,载荷设计流程",
任务,F3.2-S2-T5,MPA 功率池单管故障重构方案设计,,功率放大与输出多工设计,紧急,Sprint 6,,6,转发器设计师,2026-12-07,2026-12-20,"可靠性,载荷设计流程",
任务,F3.2-S2-T6,EPC 高压电源与过流过压保护设计,,功率放大与输出多工设计,紧急,Sprint 6,,4,电源工程师,2026-12-07,2026-12-20,"功放,载荷设计流程",
任务,F3.2-S3-T1,子带带宽 B_sub 与信道数 N_ch 设计（N_ch×B_sub≥B_trp）,,DTP 数字化与星上交换设计,紧急,Sprint 7,,8,转发器设计师,2026-12-21,2027-01-03,"DTP,载荷设计流程",
任务,F3.2-S3-T2,星上交换矩阵容量 C_sw 与非阻塞架构设计,,DTP 数字化与星上交换设计,紧急,Sprint 7,,8,转发器设计师,2026-12-21,2027-01-03,"DTP,载荷设计流程",
任务,F3.2-S3-T3,ADC 采样带宽/ENOB 与 DAC SFDR 指标分配,,DTP 数字化与星上交换设计,紧急,Sprint 7,,8,转发器设计师,2026-12-21,2027-01-03,"DTP,载荷设计流程",
任务,F3.2-S3-T4,在轨重构时间与重构粒度定义,,DTP 数字化与星上交换设计,紧急,Sprint 7,,6,总体设计师,2026-12-21,2027-01-03,"DTP,载荷设计流程",
任务,F3.2-S3-T5,子带粒度-功耗-灵活度权衡分析与优化,,DTP 数字化与星上交换设计,紧急,Sprint 7,,6,转发器设计师,2026-12-21,2027-01-03,"DTP,载荷设计流程",
任务,F3.2-S3-T6,交换容量瓶颈校核（c-14）,,DTP 数字化与星上交换设计,紧急,Sprint 7,,4,质量师,2026-12-21,2027-01-03,"校核,载荷设计流程",
任务,F3.2-S4-T1,MODCOD 阶梯定义与 ACM/VCM 自适应策略,,再生基带与星上路由设计（如选再生）,紧急,Sprint 7,,8,基带设计师,2026-12-21,2027-01-03,"再生,载荷设计流程",
任务,F3.2-S4-T2,LDPC/BCH 编码方案与编码增益核算,,再生基带与星上路由设计（如选再生）,紧急,Sprint 7,,6,基带设计师,2026-12-21,2027-01-03,"再生,载荷设计流程",
任务,F3.2-S4-T3,解调门限与体制降阶策略（阶梯最低阶后处置）,,再生基带与星上路由设计（如选再生）,紧急,Sprint 7,,6,基带设计师,2026-12-21,2027-01-03,"再生,载荷设计流程",
任务,F3.2-S4-T4,星上路由协议与路由表规模设计,,再生基带与星上路由设计（如选再生）,紧急,Sprint 7,,8,基带设计师,2026-12-21,2027-01-03,"再生,载荷设计流程",
任务,F3.3-S1-T1,粗跟踪万向架范围与捕获概率设计（≥95%）,,ATP 捕获跟踪瞄准设计,高,Sprint 8,,8,激光设计师,2027-01-04,2027-01-17,"ATP,载荷设计流程",
任务,F3.3-S1-T2,FSM 精跟踪精度（≤1μrad）与偏转范围/带宽设计,,ATP 捕获跟踪瞄准设计,高,Sprint 8,,8,激光设计师,2027-01-04,2027-01-17,"ATP,载荷设计流程",
任务,F3.3-S1-T3,信标激光器功率/发散角与捕获时间优化,,ATP 捕获跟踪瞄准设计,高,Sprint 8,,6,激光设计师,2027-01-04,2027-01-17,"ATP,载荷设计流程",
任务,F3.3-S1-T4,捕获跟踪传感器视场与探测灵敏度设计,,ATP 捕获跟踪瞄准设计,高,Sprint 8,,6,激光设计师,2027-01-04,2027-01-17,"ATP,载荷设计流程",
任务,F3.3-S1-T5,指向抖动与平台微振动耦合分析,,ATP 捕获跟踪瞄准设计,高,Sprint 8,,8,激光设计师,2027-01-04,2027-01-17,"ATP,载荷设计流程",
任务,F3.3-S1-T6,ATP 状态机与建链/断链管理逻辑,,ATP 捕获跟踪瞄准设计,高,Sprint 8,,6,激光设计师,2027-01-04,2027-01-17,"控制,载荷设计流程",
任务,F3.3-S2-T1,光学天线口径与发散角设计,,光收发与激光链路设计,高,Sprint 8,,6,激光设计师,2027-01-04,2027-01-17,"光学,载荷设计流程",
任务,F3.3-S2-T2,通信激光器功率/线宽与 EIRP_opt 核算,,光收发与激光链路设计,高,Sprint 8,,6,激光设计师,2027-01-04,2027-01-17,"光学,载荷设计流程",
任务,F3.3-S2-T3,DPSK 调制解调与接收灵敏度设计（APD/平衡探测）,,光收发与激光链路设计,高,Sprint 8,,8,激光设计师,2027-01-04,2027-01-17,"光学,载荷设计流程",
任务,F3.3-S2-T4,EDFA 增益与噪声指数设计,,光收发与激光链路设计,高,Sprint 8,,4,激光设计师,2027-01-04,2027-01-17,"光学,载荷设计流程",
任务,F3.3-S2-T5,星间 ISL 链路预算与余量校核,,光收发与激光链路设计,高,Sprint 8,,8,链路工程师,2027-01-04,2027-01-17,"链路,载荷设计流程",
任务,F3.3-S2-T6,星地激光链路云遮蔽与站址分集方案,,光收发与激光链路设计,高,Sprint 8,,6,链路工程师,2027-01-04,2027-01-17,"链路,载荷设计流程",
