工作项类型,编号,标题,描述,父级工作项,优先级,迭代,故事点,预估工时,负责人,开始日期,截止日期,标签,验收标准
用户故事,F0.1-S1,建立固定迭代节奏与四类敏捷仪式,作为载荷研制团队成员，我需要建立固定迭代节奏与四类敏捷仪式，以满足方案设计与校核要求。,敏捷仪式与迭代节奏,高,Sprint 0 · 启动准备,5,,,2026-09-21,2026-09-27,载荷设计流程,① 12 个两周迭代日历已发布；② 计划会/站会/评审会/回顾会的时间盒与产出物模板已归档；③ 连续 2 个迭代仪式执行率 100%
用户故事,F0.1-S2,定义 DoR/DoD 与 WIP 限制,作为载荷研制团队成员，我需要定义 DoR/DoD 与 WIP 限制，以满足方案设计与校核要求。,敏捷仪式与迭代节奏,高,Sprint 0 · 启动准备,5,,,2026-09-21,2026-09-27,载荷设计流程,① DoR 三条件（验收标准明确/依赖就绪/可估算）落地为 PingCode 必填字段；② DoD 四条件（设计完成+校核通过+文档归档+评审通过）写入工作项模板；③ WIP：人均并行≤2、看板列在制≤5；④ 任务粒度全部在 0.5~2 人日
用户故事,F0.1-S3,建立质量门禁 G0-G4 与技术债机制,作为载荷研制团队成员，我需要建立质量门禁 G0-G4 与技术债机制，以满足方案设计与校核要求。,敏捷仪式与迭代节奏,高,Sprint 0 · 启动准备,8,,,2026-09-21,2026-09-27,载荷设计流程,① G0 需求基线/G1 总体方案(SRR)/G2 指标校核(PDR)/G3 集成验证(CDR)/G4 交付验收(FRR) 五道门禁的通过准则、评审清单、责任人已发布；② 门禁未通过禁止进入下阶段（PingCode 状态流转强制）；③ 技术债登记表建立，每迭代预留≥10%容量偿还；④ 关键计算实行双人交叉复核
用户故事,F0.1-S4,配置自动化校核以替代人工检查,作为载荷研制团队成员，我需要配置自动化校核以替代人工检查，以满足方案设计与校核要求。,敏捷仪式与迭代节奏,高,Sprint 0 · 启动准备,5,,,2026-09-21,2026-09-27,载荷设计流程,① 三重校验（语法/语义/合规）作为 DoD 必过项；② 25 条工程约束与 30 条异常分级规则(L1/L2/L3)接入工作流；③ 人工检查项减少≥50%，校核可复现、可审计
用户故事,F1.1-S1,梳理任务场景与业务需求输入,作为载荷研制团队成员，我需要梳理任务场景与业务需求输入，以满足方案设计与校核要求。,任务需求解析与场景定义,紧急,Sprint 1,8,,,2026-09-28,2026-10-11,载荷设计流程,① 覆盖 GEO 高通量/LEO 宽带星座/手机直连(D2D)/遥感数传四类场景；② 每场景明确覆盖区、可用性、容量、寿命、工作模式；③ 需求输入清单（任务书/用户协议/频率协调文件）齐套率 100%
用户故事,F1.1-S2,建立需求澄清与缺项闸口机制,作为载荷研制团队成员，我需要建立需求澄清与缺项闸口机制，以满足方案设计与校核要求。,任务需求解析与场景定义,紧急,Sprint 1,5,,,2026-09-28,2026-10-11,载荷设计流程,① 阻断级缺项（轨道/频段/EIRP/G-T/容量任一缺失）100% 拦截，不得进入选型；② 告警级缺项可带条件推进并记录；③ 澄清问答模板覆盖 7 要素；④ 模糊需求测试用例全部正确中断
用户故事,F1.1-S3,需求基线冻结与变更控制,作为载荷研制团队成员，我需要需求基线冻结与变更控制，以满足方案设计与校核要求。,任务需求解析与场景定义,紧急,Sprint 1,3,,,2026-09-28,2026-10-11,载荷设计流程,① 需求基线版本化归档；② 变更须提交影响分析（指标/进度/成本）并经 CCB 审批；③ 变更记录可追溯率 100%
用户故事,F1.2-S1,建立顶层指标预算（EIRP/G-T/容量/质量/功耗）,作为载荷研制团队成员，我需要建立顶层指标预算（EIRP/G-T/容量/质量/功耗），以满足方案设计与校核要求。,载荷指标体系与预算分解,紧急,Sprint 1,13,,,2026-09-28,2026-10-11,载荷设计流程,① EIRP 预算按 P_out+G_ant−L_feed−L_tx 分解到功放与天线；② G/T 预算按 G_ant−10lg(T_sys) 分解到天线增益与 LNA 噪声系数；③ 容量预算按 N_beam×B_beam×η×k_reuse 分解；④ 质量/功耗分解到四个分系统并保留≥10% 裕度；⑤ 双人交叉复核通过
用户故事,F1.3-S1,频段选择与频率规划,作为载荷研制团队成员，我需要频段选择与频率规划，以满足方案设计与校核要求。,频率规划与轨道资源协调,高,Sprint 2,8,,,2026-10-12,2026-10-25,载荷设计流程,① 频段选择权衡（雨衰/口径/器件工艺/协调难度）有量化对比；② 波束数×单波束带宽 ≤ 可用总带宽×复用因子（无频率冲突）；③ 频率指配符合 ITU-R S.466，等效限值符合 S.1528
用户故事,F1.3-S2,轨道资源与覆盖特性核算,作为载荷研制团队成员，我需要轨道资源与覆盖特性核算，以满足方案设计与校核要求。,频率规划与轨道资源协调,高,Sprint 2,5,,,2026-10-12,2026-10-25,载荷设计流程,① 轨道高度/倾角/周期与覆盖区、重访周期、时延核算完成；② 星地斜距与最小仰角确定；③ 星座构型（如适用）相位关系明确
